iter	Logloss	Accuracy
0	0.6124349306	0.7158095845
1	0.5747806237	0.7158095845
2	0.559855332	0.7158095845
3	0.5441872905	0.7253622035
4	0.5364436267	0.7277503582
5	0.5262459581	0.7302977233
6	0.5240005057	0.730138513
7	0.5220191955	0.7353924534
8	0.5203235024	0.7349148225
9	0.5181369809	0.7345964018
10	0.517422585	0.7352332431
11	0.5168345556	0.7350740328
12	0.5161461155	0.7369845566
13	0.5160681297	0.7368253463
14	0.5160170176	0.7368253463
15	0.5154247102	0.7376213979
16	0.5147354453	0.736666136
17	0.5136211015	0.736666136
18	0.5130622076	0.7374621875
19	0.5126863943	0.7382582391
20	0.5126025239	0.7377806082
21	0.5094757834	0.7401687629
22	0.5093682725	0.7406463939
23	0.5090966043	0.7417608661
24	0.5089353714	0.7417608661
25	0.508648425	0.7430345486
26	0.5081519449	0.7435121796
27	0.5074936847	0.7451042828
28	0.5072466456	0.7459003343
29	0.5070552407	0.7454227034
30	0.5067143218	0.7455819137
31	0.5065752308	0.745741124
32	0.5065313482	0.745741124
33	0.5064465766	0.7455819137
34	0.5063736655	0.7459003343
35	0.506112553	0.7455819137
36	0.5057939312	0.7459003343
37	0.5054801471	0.7466963859
38	0.5054411652	0.7466963859
39	0.5053397736	0.7470148066
40	0.5051919784	0.7471740169
41	0.5042230409	0.7463779653
42	0.5041116352	0.7466963859
43	0.5036856652	0.7465371756
44	0.5036188276	0.7470148066
45	0.5032777627	0.7463779653
46	0.5023578875	0.7471740169
47	0.502285788	0.7471740169
48	0.5022377881	0.7474924375
49	0.5021250519	0.7478108581
