iter	Passed	Remaining
0	148	7268
1	157	3791
2	164	2578
3	174	2005
4	181	1636
5	189	1387
6	194	1192
7	201	1059
8	207	943
9	213	855
10	221	784
11	226	718
12	233	665
13	240	619
14	245	571
15	252	535
16	258	502
17	265	472
18	272	445
19	279	418
20	286	395
21	292	372
22	299	351
23	305	331
24	312	312
25	318	294
26	326	277
27	334	262
28	344	249
29	353	235
30	361	221
31	369	207
32	376	193
33	385	181
34	393	168
35	400	155
36	408	143
37	416	131
38	423	119
39	429	107
40	436	95
41	443	84
42	450	73
43	457	62
44	465	51
45	471	41
46	478	30
47	484	20
48	490	10
49	498	0
